>>>DATA LIST FOR: SCORED_POSTS_AQ (A)_201349194152470.xml
ye1.org, AQAA Military Engagement, عصفور النار, الفجر الجدديد, 1
nationalkuwait.com, AQAA Terrorist Activity, سيف العدل, الأشتر, 1
nationalkuwait.com, AQAA Non Violent Activity, الناجع, ملك القراصنة, 1
nationalkuwait.com, AQAA Terrorist Activity, الناجع, ملك القراصنة, 1
ye1.org, AQ Ideology, بديعة, يحي الجبر, 1
ye1.org, AQAA Terrorist Activity, بديعة, يحي الجبر, 1
nationalkuwait.com, AQAA Terrorist Activity, الأشتر, ملك القراصنة, 1
nationalkuwait.com, AQAA Military Engagement, ملك القراصنة, الأشتر, 1
nationalkuwait.com, AQAA Terrorist Activity, ملك القراصنة, الأشتر, 1
nationalkuwait.com, AQAA Terrorist Activity, حمامي عروبي, الأشتر, 1
ye1.org, AQAA Non Violent Activity, نور الدين زنكي, الخبجي99, 1
ye1.org, AQAA Military Engagement, ابن الرياشي, علي ابن المشطط, 2
ye1.org, AQAA Terrorist Activity, ابن الرياشي, علي ابن المشطط, 1
ye1.org, AQAA Terrorist Activity, علي ابن المشطط, ابن الرياشي, 1
ye1.org, AQAA Terrorist Activity, ابن الرياشي, علي ابن المشطط, 2
ye1.org, AQAA Terrorist Activity, قلم حرر, المـرادي, 1
173.199.128.68, AQ Ideology, عمر الفاروق, ابن الهازمي, 1
173.199.128.68, AQAA Terrorist Activity, عمر الفاروق, ابن الهازمي, 1
ye1.org, AQ Ideology, Nutcracker, الخبجي99, 1
ye1.org, AQAA Terrorist Activity, الخبجي99, يحي الجبر, 1
ye1.org, AQ Ideology, يحي الجبر, بديعة, 1
ye1.org, AQAA Terrorist Activity, يحي الجبر, بديعة, 1
ye1.org, AQAA Non Violent Activity, نور الدين زنكي, سعيد سامر, 1
ye1.org, AQ Ideology, رشاد العولقي, هلل, 1
ye1.org, AQAA Terrorist Activity, رشاد العولقي, هلل, 1
ye1.org, AQAA Terrorist Activity, هلل, المـرادي, 1
ye1.org, AQ Ideology, وليد عبد الودود, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, وليد عبد الودود, رجال الوايلي, 1
173.199.128.68, AQ Ideology, عمر الفاروق, المتوكل على الله, 1
173.199.128.68, AQAA Terrorist Activity, عمر الفاروق, المتوكل على الله, 1
ye1.org, AQAA Non Violent Activity, سعيد سامر, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, سعيد سامر, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, أبو علي 4, النمر بن عدوان, 1
ye1.org, AQAA Non Violent Activity, أبو علي 4, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, وليد عبد الودود, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, وليد عبد الودود, رجال الوايلي, 1
ye1.org, AQAA Military Engagement, قــمـة شـموخ, جلال الأربعيني, 2
ye1.org, AQ Ideology, حسن الأسد, بنت اليمن22, 1
ye1.org, AQAA Terrorist Activity, كاشف الحقيقة, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, النمر بن عدوان, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, سعيد سامر, 1
ye1.org, AQAA Terrorist Activity, رجال الوايلي, سعيد سامر, 1
ye1.org, AQAA Terrorist Activity, وحي الكلام, أبو الهناء, 1
ye1.org, AQAA Terrorist Activity, وحي الكلام, الصنعانية, 1
ye1.org, AQAA Terrorist Activity, وحي الكلام, صادق حسن, 1
ye1.org, AQAA Military Engagement, الواحدي شبواني, أبو طلحه, 1
ye1.org, AQAA Military Engagement, الواحدي شبواني, رجال الوايلي, 1
ye1.org, AQAA Military Engagement, الواحدي شبواني, متابع اعلامي, 1
ye1.org, AQAA Terrorist Activity, الواحدي شبواني, أبو طلحه, 1
ye1.org, AQAA Terrorist Activity, الواحدي شبواني, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, الواحدي شبواني, متابع اعلامي, 1
ye1.org, AQAA Terrorist Activity, أبو شديد, أبو صدام44, 1
ye1.org, AQ Ideology, رجال الوايلي, بنت اليمن22, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, محمد العباسى, 1
ye1.org, AQ Ideology, المؤمن الصادق, أبو صدام44, 1
ye1.org, AQ Ideology, بنت اليمن22, رجال الوايلي, 1
ye1.org, AQ Ideology, رجال الوايلي, نور الدين زنكي, 1
ye1.org, AQAA Non Violent Activity, نور الدين زنكي, ابو مراد, 1
ye1.org, AQ Ideology, نور الدين زنكي, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, رجال الوايلي, 1
ye1.org, AQ Ideology, رجال الوايلي, نور الدين زنكي, 1
ye1.org, AQ Ideology, نور الدين زنكي, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, أبو الهناء, صادق حسن, 1
ye1.org, AQAA Terrorist Activity, أبو الهناء, الصنعانية, 1
ye1.org, AQ Ideology, رجال الوايلي, محمد العباسى, 1
ye1.org, AQ Ideology, محمد العباسى, رجال الوايلي, 1
ye1.org, AQ Ideology, رجال الوايلي, محمد العباسى, 1
ye1.org, AQAA Terrorist Activity, ابن سيناءء, الريد, 1
ye1.org, AQAA Non Violent Activity, بنت اليمن22, صادق حسن, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, صادق حسن, 1
ye1.org, AQ Ideology, صادق حسن, ابن سيناءء, 1
ye1.org, AQAA Terrorist Activity, صادق حسن, ابن سيناءء, 1
ye1.org, AQAA Terrorist Activity, رجال الوايلي, بنت اليمن22, 1
ye1.org, AQAA Non Violent Activity, بنت اليمن22, محمد العباسى, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, محمد العباسى, 1
ye1.org, AQAA Non Violent Activity, KGB, بنت اليمن22, 1
ye1.org, AQ Ideology, الريد, ابن سيناءء, 1
ye1.org, AQAA Non Violent Activity, الريد, ابن سيناءء, 1
ye1.org, AQ Ideology, بنت اليمن22, ابن سيناءء, 1
ye1.org, AQAA Non Violent Activity, بنت اليمن22, ابن سيناءء, 1
ye1.org, AQ Ideology, محمد العباسى, الريد, 1
ye1.org, AQAA Terrorist Activity, محمد العباسى, الريد, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, نور الدين زنكي, 2
ye1.org, AQ Ideology, بنت اليمن22, محمد العباسى, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, محمد العباسى, 1
ye1.org, AQ Ideology, رجال الوايلي, مملكه سباء, 1
ye1.org, AQ Ideology, محمد العباسى, بنت اليمن22, 1
ye1.org, AQ Ideology, ابومرام, الريد, 1
ye1.org, AQ Ideology, مملكه سباء, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, مملكه سباء, رجال الوايلي, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, سيف العدل, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, Diplomatic, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, الثقيل, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, المتوكل على الله, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, عز ونصرة, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, غيث, 1
ye1.org, AQ Ideology, نور الدين زنكي, المـرادي, 1
ye1.org, AQAA Terrorist Activity, نور الدين زنكي, المـرادي, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, بنت اليمن22, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, مملكه سباء, 1
ye1.org, AQAA Terrorist Activity, بداية المشوار, بنت اليمن22, 1
ye1.org, AQ Ideology, ابن الديرة, ابن سيناءء, 1
ye1.org, AQAA Terrorist Activity, صاروخي, محمد الصومالي, 1
ye1.org, AQAA Non Violent Activity, أبومعاوية, محمد ق, 1
ye1.org, AQAA Non Violent Activity, عرين الأسد, محمد ق, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, ريان فتيني, 1
ye1.org, AQAA Non Violent Activity, المـرادي, ربـــش, 1
ye1.org, AQAA Military Engagement, محمد العباسى, المعلم1, 1
ye1.org, AQAA Military Engagement, محمد العباسى, صارم الحق, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, المعلم1, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, صارم الحق, 1
ye1.org, AQAA Military Engagement, عبد الرحمن الزر, المعلم1, 1
ye1.org, AQAA Military Engagement, عبد الرحمن الزر, شاخوف الوائلي, 1
ye1.org, AQAA Non Violent Activity, عبد الرحمن الزر, المعلم1, 1
ye1.org, AQAA Non Violent Activity, عبد الرحمن الزر, شاخوف الوائلي, 1
ye1.org, AQAA Military Engagement, صارم الحق, ربـــش, 1
ye1.org, AQAA Military Engagement, صارم الحق, المعلم1, 1
ye1.org, AQAA Non Violent Activity, صارم الحق, المعلم1, 1
ye1.org, AQAA Terrorist Activity, بنت اليمن22, نصيرة الحق, 1
ye1.org, AQAA Terrorist Activity, الصنعانية, صادق حسن, 1
ye1.org, AQ Ideology, الركن اليماني, صادق حسن, 1
nationalkuwait.com, AQAA Military Engagement, اللورد سلطان, سيف العدل, 1
nationalkuwait.com, AQAA Non Violent Activity, اللورد سلطان, سيف العدل, 1
nationalkuwait.com, AQAA Military Engagement, اللورد سلطان, سيف العدل, 1
nationalkuwait.com, AQ Ideology, اللورد سلطان, سيف العدل, 1
nationalkuwait.com, AQ Ideology, سيف العدل, طرفه بن العبد, 2
nationalkuwait.com, AQAA Non Violent Activity, طرفه بن العبد, سيف العدل, 1
nationalkuwait.com, AQAA Non Violent Activity, بخير الله يسلمك, سيف العدل, 2
ye1.org, AQ Ideology, أختكم في الله, الزهراء الزهراء, 1
ye1.org, AQAA Non Violent Activity, حق العودة, اسودالانبارءاب, 1
ye1.org, AQ Ideology, صادق حسن, متابع اعلامي, 1
ye1.org, AQAA Terrorist Activity, صادق حسن, متابع اعلامي, 1
ye1.org, AQ Ideology, الزهراء الزهراء, أختكم في الله, 1
ye1.org, AQ Ideology, صادق حسن, ربـــش, 1
ye1.org, AQ Ideology, ابوبسام اليمني, جلال الأربعيني, 1
ye1.org, AQAA Terrorist Activity, ابوبسام اليمني, جلال الأربعيني, 1
ye1.org, AQ Ideology, صارم الحق, ربـــش, 1
ye1.org, AQAA Non Violent Activity, مسترباند, جلال الأربعيني, 1
ye1.org, AQ Ideology, أختكم في الله, الآمر بالمعروف, 1
ye1.org, AQ Ideology, صارم الحق, الآمر بالمعروف, 1
ye1.org, AQAA Non Violent Activity, صارم الحق, ابوعلي الراشد, 1
nationalkuwait.com, AQ Ideology, عز ونصرة, نمر, 1
nationalkuwait.com, AQAA Non Violent Activity, نمر, عز ونصرة, 1
nationalkuwait.com, AQAA Non Violent Activity, نمر, سيف العدل, 1
nationalkuwait.com, AQAA Terrorist Activity, نمر, عز ونصرة, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, صابر2012, 1
nationalkuwait.com, AQAA Non Violent Activity, خالد بن الوليد, محب الصحابه, 1
nationalkuwait.com, AQAA Non Violent Activity, خالد بن الوليد, عز ونصرة, 1
ye1.org, AQ Ideology, أختكم في الله, الآمر بالمعروف, 1
nationalkuwait.com, AQAA Non Violent Activity, Trident, خالد بن الوليد, 1
ye1.org, AQAA Non Violent Activity, متابع اعلامي, صابر2012, 1
ye1.org, AQAA Non Violent Activity, صابر2012, رجال الوايلي, 1
ye1.org, AQ Ideology, وليد عبد الودود, متابع اعلامي, 1
ye1.org, AQAA Terrorist Activity, وليد عبد الودود, متابع اعلامي, 1
ye1.org, AQAA Non Violent Activity, وليد عبد الودود, نظمي, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, يحي الجبر, 1
ye1.org, AQAA Non Violent Activity, محب علماء اليمن, جلال الأربعيني, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, جلال الأربعيني, 1
ye1.org, AQ Ideology, رجال الوايلي, علي ابن المشطط, 1
nationalkuwait.com, AQAA Non Violent Activity, Trident, خالد بن الوليد, 1
nationalkuwait.com, AQ Ideology, المتوكل على الله, عمر الفاروق, 1
173.199.128.68, AQ Ideology, المتوكل على الله, عمر الفاروق, 1
nationalkuwait.com, AQ Ideology, المتوكل على الله, اجتثاث, 1
ye1.org, AQAA Terrorist Activity, صميم الواقع, alduba3ie, 1
nationalkuwait.com, AQAA Non Violent Activity, الثقيل, ابن الهازمي, 1
ye1.org, AQ Ideology, حفيد البخاري, أبو نافع, 1
ye1.org, AQAA Non Violent Activity, حفيد البخاري, أبو نافع, 1
ye1.org, AQAA Non Violent Activity, جلال الأربعيني, الضؤ, 1
ye1.org, AQAA Non Violent Activity, عبد الرحمن الزر, الضؤ, 1
ye1.org, AQAA Non Violent Activity, جلال الأربعيني, رجال الوايلي, 1
nationalkuwait.com, AQAA Non Violent Activity, فـــ@ــــد, سيف العدل, 4
ye1.org, AQ Ideology, محمد العباسى, يحي الجبر, 1
ye1.org, AQAA Terrorist Activity, محمد العباسى, يحي الجبر, 1
facebook.com, AQAA Non Violent Activity, النجف الاشرف, معا لجمع مئة الف شيعي يفتخر بكلمة رافضي, 1
nationalkuwait.com, AQ Ideology, اجتثاث, ابن الهازمي, 1
facebook.com, AQAA Non Violent Activity, Nazanin Angel, معا لجمع مئة الف شيعي يفتخر بكلمة رافضي, 1
nationalkuwait.com, AQ Ideology, Catch Me If You Can, ابن الهازمي, 1
nationalkuwait.com, AQ Ideology, ابن الهازمي, المتوكل على الله, 1
nationalkuwait.com, AQ Ideology, المتوكل على الله, عمر الفاروق, 1
173.199.128.68, AQ Ideology, المتوكل على الله, عمر الفاروق, 1
nationalkuwait.com, AQ Ideology, المتوكل على الله, عمر الفاروق, 1
173.199.128.68, AQ Ideology, المتوكل على الله, عمر الفاروق, 1
facebook.com, AQAA Non Violent Activity, محمد محمد حسين الربيعي, معا لجمع مئة الف شيعي يفتخر بكلمة رافضي, 1
facebook.com, AQAA Non Violent Activity, Um Alsadah, معا لجمع مئة الف شيعي يفتخر بكلمة رافضي, 1
nationalkuwait.com, AQAA Terrorist Activity, غيث, سالم أحمد80, 1
nationalkuwait.com, AQAA Terrorist Activity, المتوكل على الله, سالم أحمد80, 1
ye1.org, AQ Ideology, أبو نافع, رجال الوايلي, 1
ye1.org, AQAA Terrorist Activity, أبو نافع, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, يحي الجبر, محمد العباسى, 1
173.199.128.68, AQ Ideology, عمر الفاروق, نيو كلير, 1
173.199.128.68, AQAA Terrorist Activity, عمر الفاروق, نيو كلير, 1
nationalkuwait.com, AQ Ideology, عمر الفاروق, نيو كلير, 1
nationalkuwait.com, AQAA Terrorist Activity, عمر الفاروق, نيو كلير, 1
ye1.org, AQ Ideology, أبـو علياء, رجال الوايلي, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, يحي الجبر, 1
nationalkuwait.com, AQ Ideology, سيف العدل, سالم أحمد80, 1
nationalkuwait.com, AQAA Terrorist Activity, سيف العدل, سالم أحمد80, 1
nationalkuwait.com, AQAA Non Violent Activity, سالم أحمد80, سيف العدل, 1
ye1.org, AQAA Non Violent Activity, جلال الأربعيني, الفجر الجدديد, 1
ye1.org, AQ Ideology, عبد الرحمن الزر, ابن الديرة, 1
ye1.org, AQAA Terrorist Activity, عبد الرحمن الزر, ابن الديرة, 1
ye1.org, AQAA Terrorist Activity, الميراج, محمد العباسى, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, يحي الجبر, 1
ye1.org, AQ Ideology, عبد الرحمن الزر, عبدالرزاق الجمل, 1
ye1.org, AQAA Military Engagement, عبد الرحمن الزر, عبدالرزاق الجمل, 1
ye1.org, AQAA Non Violent Activity, عبد الرحمن الزر, عبدالرزاق الجمل, 1
ye1.org, AQAA Military Engagement, الركن اليماني, ramzi alkadasi, 1
ye1.org, AQ Ideology, ابوالعهد, الليل والنهار, 1
ye1.org, AQ Ideology, ابن الديرة, عبد الرحمن الزر, 1
ye1.org, AQAA Terrorist Activity, ابن الديرة, عبد الرحمن الزر, 1
nationalkuwait.com, AQ Ideology, شاهر المطيري, عبد الله76, 1
ye1.org, AQAA Military Engagement, ramzi alkadasi, عبدالرزاق الجمل, 1
ye1.org, AQAA Non Violent Activity, ramzi alkadasi, عبدالرزاق الجمل, 1
ye1.org, AQAA Terrorist Activity, ramzi alkadasi, عبدالرزاق الجمل, 1
nationalkuwait.com, AQAA Non Violent Activity, سيف العدل, سالم أحمد80, 1
nationalkuwait.com, AQAA Non Violent Activity, سيف العدل, فـــ@ــــد, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, يحي الجبر, 1
nationalkuwait.com, AQ Ideology, فـــ@ــــد, سيف العدل, 1
nationalkuwait.com, AQAA Terrorist Activity, سالم أحمد80, سيف العدل, 1
ye1.org, AQAA Non Violent Activity, أختكم في الله, عبدالرزاق الجمل, 2
ye1.org, AQAA Non Violent Activity, لبيك يايمن, محمد العباسى, 1
ye1.org, AQAA Terrorist Activity, يحي الجبر, محمد العباسى, 1
ye1.org, AQ Ideology, محمد العباسى, يحي الجبر, 1
ye1.org, AQAA Non Violent Activity, محمد العباسى, يحي الجبر, 1
ye1.org, AQAA Non Violent Activity, رجال الوايلي, يحي الجبر, 1
nationalkuwait.com, AQ Ideology, عبد الله76, شاهر المطيري, 1
